"Head","DRD","Count","Comm_freq"
1,-11,17289,0.323095609925386
1,-10,75429,0.269379151254822
1,-9,137885,0.084048301120499
1,-8,63118,0.0622484869609303
1,-7,191378,0.0528326139890688
1,-6,47009,0.0380352698419452
1,-5,46342,0.299684951016357
1,-4,9675,0.295297157622739
1,-3,9676,1.35582885489872
1,-2,1300,2.94461538461538
1,-1,1308,16.2087155963303
1,0,512663,NA
1,1,1308,18.7935779816514
1,2,1300,4.89
1,3,9676,1.85107482430757
1,4,9675,0.477829457364341
1,5,46342,0.300159682361573
1,6,47009,0.0461188283094726
1,7,191378,0.0839647190377159
1,8,63118,0.0553091035837637
1,9,137885,0.0536534068245277
1,10,75429,0.124898911559215
1,11,17289,0.141592920353982
2,-9,11400,0.0251754385964912
2,-8,11100,0.0227927927927928
2,-7,56238,0.0391016750240051
2,-6,22677,0.057062221634255
2,-5,29688,0.10030988951765
2,-4,4676,0.125962360992301
2,-3,5084,0.617033831628639
2,-2,644,1.71583850931677
2,-1,652,18.6963190184049
2,0,142091,NA
2,1,652,22.5444785276074
2,2,644,4.52329192546584
2,3,5084,0.874704956726987
2,4,4676,0.28721129170231
2,5,29688,0.138439773645918
2,6,22677,0.0967059134806191
2,7,56238,0.0357409580710552
2,8,11100,0.0168468468468468
2,9,11400,0.0423684210526316
3,-10,259,NA
3,-9,6643,0.00692458226704802
3,-8,13669,0.0127295339820031
3,-7,38038,0.0125926704874073
3,-6,19362,0.0267534345625452
3,-5,24758,0.0775102997011067
3,-4,5104,0.161833855799373
3,-3,5953,1.36166638669578
3,-2,541,2.21072088724584
3,-1,553,26.873417721519
3,0,77156,NA
3,1,553,35.0705244122966
3,2,541,4.07393715341959
3,3,5953,1.54896690744163
3,4,5104,0.24294670846395
3,5,24758,0.0918894902657727
3,6,19362,0.0340873876665634
3,7,38038,0.016983016983017
3,8,13669,0.0163874460457971
3,9,6643,0.0155050429023032
3,10,259,NA
4,-12,162,NA
4,-11,1206,NA
4,-10,2124,NA
4,-9,1971,0.000507356671740233
4,-8,1785,NA
4,-7,5342,0.0904155746911269
4,-6,2270,0.0625550660792952
4,-5,4341,0.391614835291408
