"Head","RD","Count","Comm_freq"
1,0,1309,NA
1,1,2616,17.5011467889908
1,2,18940,4.25153115100317
1,3,19352,1.60345183960314
1,4,52924,0.668732522107172
1,5,92684,0.299922316688965
1,6,215336,0.160544451461901
1,7,382756,0.0683986665133924
1,8,440828,0.0525012022829766
1,9,275770,0.0688508539725133
1,10,176388,0.174325917862893
1,11,34578,0.232344265139684
2,0,653,NA
2,1,1304,20.6203987730061
2,2,8720,4.96456422018349
2,3,10168,0.745869394177813
2,4,34046,0.343858309346179
2,5,59376,0.119374831581784
2,6,112236,0.0599005666631027
2,7,112476,0.0374213165475301
2,8,60598,0.0416185352651903
2,9,22800,0.0337719298245614
2,10,4032,0.00868055555555556
3,0,554,NA
3,1,1106,30.9719710669078
3,2,5378,6.02119747117888
3,3,11906,1.4553166470687
3,4,25314,0.406099391640989
3,5,49516,0.0846998949834397
3,6,75540,0.0253110934604183
3,7,76076,0.0147878437352122
3,8,47038,0.0133083889621157
3,9,13286,0.0112148125846756
3,10,1202,NA
4,0,242,NA
4,1,482,24.2614107883817
4,2,1820,8.28406593406593
4,3,2792,1.99104584527221
4,4,5718,0.899090591115775
4,5,8682,0.435498733010827
4,6,11490,0.187206266318538
4,7,10684,0.0932235117933358
4,8,5668,0.000705716302046577
4,9,3942,0.000253678335870117
4,10,4308,NA
4,11,2412,NA
4,12,324,NA
5,0,113,NA
5,1,224,35.9464285714286
5,2,654,10.6697247706422
5,3,1508,3.24801061007958
5,4,3230,1.4969040247678
5,5,4186,0.906832298136646
5,6,2448,0.756535947712418
5,7,406,0.0197044334975369
6,0,262,NA
6,1,522,16.9674329501916
6,2,4436,4.45942290351668
6,3,5212,1.2300460475825
6,4,9584,0.619887312186978
6,5,7088,0.403781038374718
6,6,10746,0.197654941373534
6,7,9296,0.0356067125645439
6,8,9480,0.0310126582278481
6,9,9162,0.00240122244051517
6,10,2856,NA
7,0,7322,NA
7,1,14642,17.2725037563174
7,2,93458,3.71032977380214
7,3,143290,0.875497243352641
7,4,552214,0.409614750803131
7,5,1071556,0.184583913486556
7,6,2744624,0.0778620313747894
7,7,5660132,0.0290162844258756
7,8,10119820,0.0104710360460957
7,9,14146658,0.00924706033043282
7,10,12561964,0.00844740519874122
7,11,5571298,0.00753271499747457
7,12,896944,0.00626349025134234
7,13,27738,0.000144206503713317
7,14,24,NA
8,0,915,NA
8,1,1828,15.8391684901532
8,2,9904,3.5407915993538
8,3,14496,1.09112858719647
8,4,51670,0.50623185600929
8,5,97810,0.190696247827421
8,6,247282,0.163020357324836
8,7,253118,0.0798599862514716
8,8,126356,0.0596805850137706
8,9,31956,0.0334522468394042
8,10,1890,0.00634920634920635
9,0,6523,NA
9,1,13044,17.7026218951242
9,2,198244,2.46359536732511
9,3,139356,1.23589224719424
9,4,434586,0.596535553377237
9,5,815836,0.238702386263906
9,6,1900686,0.115142637973868
9,7,3825640,0.0531809056785269
9,8,6676306,0.0190543992441329
9,9,10109848,0.00587476686098546
9,10,10111688,0.00310254825900484
9,11,5658854,0.00105480721008176
9,12,2113930,0.00024362206884807
9,13,482810,0.000113916447463805
9,14,57922,1.72645972169469e-05
9,15,4256,NA
10,0,11718,NA
10,1,23434,18.678458649825
10,2,133720,4.15249027819324
10,3,207654,1.35685804270565
10,4,653160,0.609299405964848
10,5,1415392,0.229404292238475
10,6,3954586,0.101294294775736
10,7,9349250,0.0314876594379229
10,8,20536016,0.0126907283282211
10,9,32666030,0.00380180879035499
10,10,38844926,0.00145730744859702
10,11,21802176,0.00113974861958733
10,12,6585692,0.00152573184412512
10,13,1046660,0.000782489060439876
10,14,78382,0.00137786736750785
10,15,2716,NA
10,16,12,NA
