"Head","SRD","Count","Comm_freq"
1,-6,153,0.0718954248366013
1,-5,1420,0.0225352112676056
1,-4,10737,0.0356710440532737
1,-3,61060,0.117376351130036
1,-2,185641,0.174137178748229
1,-1,341398,0.200045108641527
1,0,512663,0.284005282222435
1,1,341398,0.224515082103586
1,2,185641,0.136052919344326
1,3,61060,0.0921552571241402
1,4,10737,0.0742293005495017
1,5,1420,0.0295774647887324
1,6,153,0.0392156862745098
2,-5,117,NA
2,-4,1259,0.00317712470214456
2,-3,9980,0.0238476953907816
2,-2,37838,0.0855489190760611
2,-1,92965,0.221083203356102
2,0,142091,0.382860279679923
2,1,92965,0.258430592158339
2,2,37838,0.160975738675406
2,3,9980,0.165430861723447
2,4,1259,0.432883240667196
2,5,117,0.623931623931624
3,-6,37,NA
3,-5,633,0.00157977883096367
3,-4,4171,0.0167825461520019
3,-3,14803,0.0262784570695129
3,-2,34727,0.0761367235868344
3,-1,60509,0.413508734237882
3,0,77156,0.494556482969568
3,1,60509,0.506189161942851
3,2,34727,0.11403230915426
3,3,14803,0.062217118151726
3,4,4171,0.0855909853752098
3,5,633,0.140600315955766
3,6,37,0.297297297297297
4,-7,27,NA
4,-6,228,NA
4,-5,917,NA
4,-4,2863,0.005588543485854
4,-3,3771,0.122248740387165
4,-2,4752,0.297558922558923
4,-1,9782,0.9671846248211
4,0,13884,1.31611927398444
4,1,9782,1.16479247597628
4,2,4752,0.542929292929293
4,3,3771,0.18960487934235
4,4,2863,0.0314355571079287
4,5,917,NA
4,6,228,NA
4,7,27,NA
5,-4,7,NA
5,-3,128,0.21875
5,-2,905,1.15469613259669
5,-1,3034,2.52043506921556
5,0,4621,2.35663276347111
5,1,3034,2.95088991430455
5,2,905,1.90718232044199
5,3,128,0.984375
5,4,7,0.571428571428571
6,-5,101,NA
6,-4,871,0.0275545350172216
6,-3,3393,0.0769230769230769
6,-2,8441,0.29700272479564
6,-1,12146,0.690515396015149
6,0,18740,1.16270010672359
6,1,12146,0.771776716614523
6,2,8441,0.446392607510958
6,3,3393,0.13586796345417
6,4,871,0.060849598163031
6,5,101,NA
7,-7,13,NA
7,-6,1223,0.000817661488143908
7,-5,13535,0.00177318064277798
7,-4,129822,0.00402089014188658
7,-3,832629,0.00867493205257083
7,-2,4193021,0.0164356438949388
7,-1,12471480,0.0332906760063761
7,0,18328238,0.0451254506843484
7,1,12471480,0.0374770275861406
7,2,4193021,0.0240697578190045
7,3,832629,0.0265868712235582
7,4,129822,0.0532575372433024
7,5,13535,0.0891023272995937
7,6,1223,0.00735895339329518
7,7,13,NA
8,-5,84,NA
8,-4,1207,0.0231980115990058
8,-3,9874,0.0466882722300993
8,-2,65095,0.109762654581765
8,-1,189646,0.215032217921812
8,0,305413,0.304702157406528
8,1,189646,0.219566982694072
8,2,65095,0.127321606882249
8,3,9874,0.172878266153535
8,4,1207,0.471416735708368
8,5,84,1.4047619047619
9,-8,8,NA
9,-7,350,NA
9,-6,3559,0.00365271143579657
9,-5,29637,0.0196713567500084
9,-4,219206,0.0240869319270458
9,-3,1173754,0.016316025334099
9,-2,4092650,0.0201216815510733
9,-1,9321081,0.0398319679874039
9,0,12869039,0.0686905991970341
9,1,9321081,0.0450640864509171
9,2,4092650,0.0321921004727988
9,3,1173754,0.042752569959293
9,4,219206,0.0978531609536235
9,5,29637,0.184701555488072
9,6,3559,0.214386063500983
9,7,350,0.114285714285714
9,8,8,NA
10,-8,5,NA
10,-7,340,NA
10,-6,4871,0.000205296653664545
10,-5,46646,0.0032585859452043
10,-4,369636,0.0061655250029759
10,-3,2373647,0.00836855690841983
10,-2,10760465,0.0122022607759051
10,-1,30836023,0.0216822707649425
